,0
/m/1023906-women,29
/m/1024191-wrong_man,19
/m/1024192-wuthering_heights,20
/m/1024232-year_of_the_dragon,12
/m/1024237-yearling,14
/m/1024407-yours_mine_and_ours,8
/m/1028554-blue_steel,11
/m/1028561-where_the_heart_is,3
/m/1028564-guardian,-4
/m/1028711-mystery_train,30
/m/1028715-revolution,-4
/m/1029042-henry_v,34
/m/1029072-kiss_of_death,18
/m/1029112-alice_in_wonderland,17
/m/1029161-my_blue_heaven,13
/m/1029261-state_fair,2
/m/1029314-dick_tracy,21
/m/1029408-bombshell,8
/m/1029427-navy_seals,-11
/m/1029895-goodbye_mr_chips,6
/m/102_dalmatians,9
/m/1030142-champ,7
/m/1030146-narrow_margin,9
/m/1030244-red_dust,4
/m/1030864-desperate_hours,10
/m/1031086-ghost,43
/m/1031087-memphis_belle,20
/m/1031274-faust,22
/m/1031278-gun_crazy,29
/m/1031385-jungle_book,30
/m/1031440-long_goodbye,28
/m/1031458-houdini,13
/m/1031472-avalon,26
/m/1031635-rookie,-6
/m/1031744-long_walk_home,19
/m/1031763-anastasia,8
/m/1031766-jane_eyre,10
/m/1031984-pit_and_the_pendulum,6
/m/1032176-goodfellas,97
/m/1032180-after_hours,46
/m/1032182-white_fang,15
/m/1032409-boy_meets_girl,10
/m/1032518-mata_hari,11
/m/1032522-alice,17
/m/1032750-hidden_agenda,10
/m/1032795-connection,20
/m/1032798-entertainer,10
/m/1032814-sorry_wrong_number,21
/m/1032970-awakenings,33
/m/1032980-diabolique,44
/m/1033465-true_colors,6
/m/1034067-switch,21
/m/1034131-field,18
/m/1034151-oscar,11
/m/1035050-night_nurse,7
/m/1035061-fury,15
/m/1035065-possessed,10
/m/1035316-born_to_kill,-1
/m/1035639-toy_soldiers,11
/m/1036052-come_and_see,23
/m/1036129-miracle,12
/m/1036179-hot_shots,16
/m/1036458-dogfight,21
/m/1036553-hitman,2
/m/1036653-teachers_pet,5
/m/1036952-shattered,9
/m/1036976-romeo_and_juliet,9
/m/1037015-doctor,21
/m/1037017-paradise,11
/m/1037024-commitments,48
/m/1037161-frankie_and_johnny,31
/m/1037177-deceived,16
/m/1037244-star,3
/m/1037447-poison,17
/m/1037581-cape_fear,35
/m/1037599-voyager,7
/m/1037649-my_girl,12
/m/1037756-jfk,45
/m/1037780-man_in_the_moon,24
/m/1037786-prize,5
/m/1037789-train,11
/m/1037864-father_of_the_bride,30
/m/1038009-rush,34
/m/1038176-medicine_man,12
/m/1038237-platinum_blonde,7
/m/1038526-uninvited,17
/m/1038613-italian_job,27
/m/1038726-beethoven,18
/m/1038770-high_heels,15
/m/1038978-babe,31
/m/1038990-cutting_edge,17
/m/1039071-gladiator,9
/m/1039270-deep_cover,22
/m/1039460-all_i_want_for_christmas,-9
/m/1039511-class_act,5
/m/1039515-edward_ii,9
/m/1039796-boomerang,15
/m/1040198-rapid_fire,21
/m/1040204-live_wire,3
/m/1040322-of_mice_and_men,28
/m/1040324-body_parts,10
/m/1040378-cool_world,1
/m/1040379-singles,45
/m/1040398-naked_city,25
/m/1040442-conquest_of_space,3
/m/1040484-wind,13
/m/1040678-last_of_the_mohicans,37
/m/1040755-consenting_adults,6
/m/1040798-husbands_and_wives,32
/m/1040893-hero,13
/m/1041055-ned_kelly,5
/m/1041070-hallelujah,5
/m/1041862-forever_young,13
/m/1041870-matinee,33
/m/1041911-unforgiven,105
/m/1042059-leap_of_faith,15
